course_id;course_name;course_type;course_period;vacancies;campus;city;state_uf;university;uni_abrev
120988;ENGENHARIA DE TRANSPORTE E LOGÍSTICA;Bacharelado;Integral;7;CAMPUS DE JOINVILLE;Joinville;SC;UNIVERSIDADE FEDERAL DE SANTA CATARINA;UFSC
120989;MATEMÁTICA;Licenciatura;Integral;16;CAMPUS UNIVERSITÁRIO REITOR JOÃO DAVID FERREIRA LIMA;Florianópolis;SC;UNIVERSIDADE FEDERAL DE SANTA CATARINA;UFSC
120990;DESIGN;Bacharelado;Integral;9;CAMPUS UNIVERSITÁRIO REITOR JOÃO DAVID FERREIRA LIMA;Florianópolis;SC;UNIVERSIDADE FEDERAL DE SANTA CATARINA;UFSC
120991;ENGENHARIA NAVAL;Bacharelado;Integral;7;CAMPUS DE JOINVILLE;Joinville;SC;UNIVERSIDADE FEDERAL DE SANTA CATARINA;UFSC
120992;MEDICINA VETERINÁRIA;Bacharelado;Integral;12;CAMPUS CURITIBANOS;Curitibanos;SC;UNIVERSIDADE FEDERAL DE SANTA CATARINA;UFSC
120993;ENGENHARIA CIVIL DE INFRAESTRUTURA;Bacharelado;Integral;7;CAMPUS DE JOINVILLE;Joinville;SC;UNIVERSIDADE FEDERAL DE SANTA CATARINA;UFSC
120994;ENGENHARIA ELÉTRICA;Bacharelado;Integral;15;CAMPUS UNIVERSITÁRIO REITOR JOÃO DAVID FERREIRA LIMA;Florianópolis;SC;UNIVERSIDADE FEDERAL DE SANTA CATARINA;UFSC
120995;ENGENHARIA SANITARIA E AMBIENTAL;Bacharelado;Integral;13;CAMPUS UNIVERSITÁRIO REITOR JOÃO DAVID FERREIRA LIMA;Florianópolis;SC;UNIVERSIDADE FEDERAL DE SANTA CATARINA;UFSC
120997;GEOLOGIA;Bacharelado;Integral;9;CAMPUS UNIVERSITÁRIO REITOR JOÃO DAVID FERREIRA LIMA;Florianópolis;SC;UNIVERSIDADE FEDERAL DE SANTA CATARINA;UFSC
120999;ABI - GEOGRAFIA;Área Básica de Ingresso (ABI);Noturno;0;CAMPUS UNIVERSITÁRIO REITOR JOÃO DAVID FERREIRA LIMA;Florianópolis;SC;UNIVERSIDADE FEDERAL DE SANTA CATARINA;UFSC
